Asian,ˈeɪʒən,,['proper noun']
Asiatic,eɪ̯ʒiˈætɪk,,['proper noun']
Asmara,æsˈmɑːɹə,,['proper noun']
Asperger,ˈæspɜː(ɹ)ɡə(ɹ),,['proper noun']
Assad,æˈsɑːd,,['proper noun']
Assam,æˈsæm,,['proper noun']
Assisi,ˌɑˈsi.si,,['proper noun']
Assyria,əˈsɪɹi.ə,,['proper noun']
Assyrian,əˈsɪɹi.ən,,['proper noun']
Astana,əsˈtɑːnə,,['proper noun']
Astarte,asˈtar.teː,,['proper noun']
Astrakhan,æstɹəˈkæn,,['proper noun']
AstroTurf,ˈæstɹoʊˌtɝf,,['proper noun']
Asturias,æsˈtʊə.ɹi.əs,,['proper noun']
Asunción,əˌsuːnsiˈɒn,,['proper noun']
Aswan,asˈwɑːn,,['proper noun']
Atacama,ataˈkama,,['proper noun']
Atalanta,a.taˈlan.ta,,['proper noun']
Atatürk,ˈatətɜːk,,['proper noun']
Athanasius,ˌæθəˈneɪʃəs,,['proper noun']
Athena,əˈθiːnə,,['proper noun']
Athene,aˈtˢeːnə,,['proper noun']
Athenian,əˈθiː.ni.ən,,['proper noun']
Athenians,əˈθiː.ni.ənz,,['proper noun']
Athens,ˈæθənz,,['proper noun']
Atkins,ˈætkɪnz,,['proper noun']
Atlanta,ætˈlæntə,,['proper noun']
Atlantic,ətˈlæn.tɪk,,['proper noun']
Atlantis,ətˈlæntəs,,['proper noun']
Atlas,ˈætləs,,['proper noun']
Atreus,ˈa.tre.us,,['proper noun']
Atropos,ˈætɹəpɒs,,['proper noun']
Attic,ˈætɪk,,['proper noun']
Attica,ˈɑ.ti.kaː,,['proper noun']
Attila,ˈatila,,['proper noun']
Au,ˈaʊ̯,,['proper noun']
Aubrey,ˈɔːbɹi,,['proper noun']
Auburn,ˈɔːbə(ɹ)n,,['proper noun']
Auckland,ˈɔːklənd,,['proper noun']
Audi,aʊ̯di,,['proper noun']
Audrey,ˈɔːdɹi,,['proper noun']
Aug,ɒu̯ɡ̊,,['proper noun']
Augean,ɔːˈdʒiːən,,['proper noun']
August,ˈɔː.ɡəst,,['proper noun']
Augusta,əɡʌstə,,['proper noun']
Augustan,ɔːˈɡʌstən,,['proper noun']
Augustine,ɔːˈɡʌstɪn,,['proper noun']
Augustinian,ɪniə,,['proper noun']
Augusts,ˈɔɡəsts,,['proper noun']
Augustus,ɔːˈɡʌstəs,,['proper noun']
Aurelia,au̯ˈreː.li.a,,['proper noun']
Aurelio,awˈrɛ.ljo,,['proper noun']
Aurelius,au̯ˈreː.li.us,,['proper noun']
Auriga,ɔːˈɹaɪɡə,,['proper noun']
Aurora,ˈɑu̯rorɑ,,['proper noun']
Auschwitz,ˈaʊ̯ʃ.vɪts,,['proper noun']
Aussie,ˈɔzi,,['proper noun']
Austen,ˈɔstɪn,,['proper noun']
Austerlitz,ˈɔːstəlɪts,,['proper noun']
Austin,ˈɔstɪn,,['proper noun']
Australasia,ˌɒstɹ(ə)lˈeɪʒə,,['proper noun']
Australia,ɒˈstɹeɪljə,,['proper noun']
Australian,əˈstɹæɪ.ljən,,['proper noun']
Austria,ˈɒs.tɹɪə,,['proper noun']
Austrian,ˈɒstɹi.ən,,['proper noun']
Austrians,ˈɒstɹi.əns,,['proper noun']
Austronesian,ˌɔːs.tɹoʊˈniː.ʒən,,['proper noun']
Ava,ˈeɪvə,,['proper noun']
Avalon,ˈævəlɑn,,['proper noun']
Ave,ˈa.vi,,['proper noun']
Aventine,ˈævəntaɪn,,['proper noun']
Averroes,əˈvɛɹəʊiːz,,['proper noun']
Avery,ˈeɪvəɹi,,['proper noun']
Avicenna,ˌævɪˈsɛnə,,['proper noun']
Avignon,a.vi.ɲɔ̃,,['proper noun']
Avis,aˈviː,,['proper noun']
Avogadro,ˌavəˈɡɑːdɹəʊ,,['proper noun']
Avon,ˈeɪ.vən,,['proper noun']
Ayala,aˈʝala,,['proper noun']
Aymara,ˌaɪməˈɹɑː,,['proper noun']
Ayrshire,ˈeːɹʃəɹ,,['proper noun']
Ayurveda,aɪ.ʊəˈveɪ.də,,['proper noun']
Azazel,əˈzeɪzəl,,['proper noun']
Azerbaijan,ˌæz.ə(ɹ).baɪˈdʒɑːn,,['proper noun']
Azerbaijani,ˌæzəbaɪˈdʒɑːni,,['proper noun']
Azores,əˈzɔːz,,['proper noun']
Azov,ˈɑːzɒv,,['proper noun']
Aztec,ˈæz.tɛk,,['proper noun']
Aztecs,ˈæztɛks,,['proper noun']
B,b,,['proper noun']
BBC,biː biː ˈsiː,,['proper noun']
BBQ,ˈbɑːɹbəkjuː,,['proper noun']
BFF,ˌbiː.ɛfˈɛf,,['proper noun']
BLT,ˌbiːɛlˈtiː,,['proper noun']
BM,be.ɛm,,['proper noun']
BMW,be.ɛm.ve,,['proper noun']
BO,be.o,,['proper noun']
BP,be.pe,,['proper noun']
BTU,biː.tiː.juː,,['proper noun']
BTW,beː.teːˈʋeː,,['proper noun']
Baal,ˈbeɪəl,,['proper noun']
Baath,bɑːθ,,['proper noun']
Baathist,ˈbɑːθɪst,,['proper noun']
Babbitt,ˈbæbɪt,,['proper noun']
Babel,ˈbeɪ.bl̩,,['proper noun']
Babylon,ˈbæbɪ.lɒn,,['proper noun']
Babylonia,ˌbæbɪˈləʊnɪə,,['proper noun']
Bacchanalia,ˌbækəˈneɪli.ə,,['proper noun']
Bacchus,ˈbækəs,,['proper noun']
Bach,bɑːx,,['proper noun']
Backus,bækəs,,['proper noun']
Bacon,ˈbeɪ.kən,,['proper noun']
Bactria,ˈbæktɹɪə,,['proper noun']
Baden,ˈbɑːdən,,['proper noun']
Badlands,ˈbɛ(ː)tlɛnds,,['proper noun']
Baedeker,ˈbeɪdɪkə,,['proper noun']
Baffin,ˈbæfɪn,,['proper noun']
Baghdad,bæɡˈdæd,,['proper noun']
Bahama's,baːˈɦaː.maːs,,['proper noun']
Bahamas,bəˈhɑː.məz,,['proper noun']
Bahamian,bəˈheɪm.ɪən,,['proper noun']
Bahia,bəˈhiːə,,['proper noun']
Bahrain,bɑːˈɹeɪn,,['proper noun']
Baidu,baɪˈduː,,['proper noun']
Baikal,baɪ.ˈkæl,,['proper noun']
Bailey,ˈbeɪli,,['proper noun']
Bakelite,ˈbeɪk.ə.laɪt,,['proper noun']
Baku,ˈbækuː,,['proper noun']
Balaton,ˈbælətɒn,,['proper noun']
Balboa,balˈβoa̝,,['proper noun']
Baldwin,ˈbɔːldwɪn,,['proper noun']
Balearic,bæliˈæɹɪk,,['proper noun']
Bali,ˈbɑːli,,['proper noun']
Balinese,ˈbɑːlɪniːz,,['proper noun']
Balkan,ˈbɔːlkən,,['proper noun']
Balkans,ˈbɔːl.kənz,,['proper noun']
Ball,bal,,['proper noun']
Balthazar,bælˈθeɪzə,,['proper noun']
Baltic,ˈbɔːl.tɪk,,['proper noun']
Baltimore,ˈbɔl.tɪˌmɔɹ,,['proper noun']
Balzac,bal.zak,,['proper noun']
Bamako,baˈmako,,['proper noun']
Banach,ˈba.nax,,['proper noun']
Bandung,ˈbændʊŋ,,['proper noun']
Bangalore,ˌbæŋɡəˈlɔː,,['proper noun']
Bangkok,bæŋˈkɒk,,['proper noun']
Bangladesh,ˌbæŋ.ɡlə.ˈdɛʃ,,['proper noun']
Bangor,ˈbæŋɡə(ɹ),,['proper noun']
Bangui,bɑːŋˈɡiː,,['proper noun']
Banjul,ˈband͡ʒul,,['proper noun']
Bantu,ˈbæntu,,['proper noun']
Baptist,bapˈtɪst,,['proper noun']
Baptiste,ba.tist,,['proper noun']
Barabbas,bəˈɹæbəs,,['proper noun']
